Module,Quantity,Unit,Sample Value,Search Terms,Premium Catalog ID,Premium Item,Premium Cost,Luxury Catalog ID,Luxury Item,Luxury Cost,Ultra Catalog ID,Ultra Item,Ultra Cost,Selected Premium ID,Selected Luxury ID,Selected Ultra ID
foundation,slab_concrete_cy,CY,244,"slab, concrete",cm13_P,"Concrete 4"" Slab (Minimum $1150)",8.0,,,,cm10_U,"Concrete Footers 18""",32.0,cm13_P,,cm10_U
foundation,footing_concrete_cy,CY,85,"footing, concrete",cm13_P,"Concrete 4"" Slab (Minimum $1150)",8.0,,,,cm12_U,Concrete Pier Footing(s) 3' x 3',400.0,cm13_P,,cm12_U
foundation,foundation_wall_cy,CY,153,"foundation, wall",cm4_P,Scaffold (walls above 6'),3.4,,,,,,,cm4_P,,
foundation,total_concrete_cy,CY,483,"total, concrete",cm13_P,"Concrete 4"" Slab (Minimum $1150)",8.0,,,,cm10_U,"Concrete Footers 18""",32.0,cm13_P,,cm10_U
foundation,foundation_waterproofing_sf,SF,7200,"foundation, waterproofing",,,,,,,,,,,,
foundation,below_grade_drainage_lf,LF,2400,"below, grade, drainage",ca1_P,Cabinets Custom Paint Grade,650.0,ca2_L,Cabinets Custom Stain Grade,1025.0,,,,ca1_P,ca2_L,
foundation,roof_drainage_lf,LF,1200,"roof, drainage",ro1_P,Roofing Recoat Flat Roof,1.1,ro3_L,Roofing Tear Off and Replace Flat Roof,5.65,ro2_U,Roofing Repair Flat Roof,2500.0,ro1_P,ro3_L,ro2_U
foundation,sump_pumps,EA,3,"sump, pumps",,,,,,,,,,,,
structural,conventional_lumber_bf,BF,17280,"conventional, lumber",,,,,,,,,,,,
structural,engineered_lumber_bf,BF,15120,"engineered, lumber",fl5_P,Engineered Hardwood Floor Prep (Allowance),1.0,fl1_L,Engineered Hardwood Install,4.25,fl2_U,Engineered Hardwood Material,12.0,fl5_P,fl1_L,fl2_U
structural,steel_framing_equivalent_bf,BF,10800,"steel, framing, equivalent",fr3_P,Framing of Patio,15.0,fr2_L,Framing of Garage Space,27.5,fr1_U,Framing of Liveable Space,55.0,fr3_P,fr2_L,fr1_U
structural,stud_quantity,EA,26858,"stud, quantity",,,,,,,,,,,,
structural,stud_spacing_inches,EA,12,"stud, spacing, inches",,,,,,,,,,,,
structural,wall_linear_feet,LF,2238,"wall, linear, feet",de1_P,Demo Interior Walls,1.0,de30_L,Demo Drywall Lid and Insulation,5.0,pl6_U,Plumbing Tub Filler(s) (Wall Mounted) (Rough-in),950.0,de1_P,de30_L,pl6_U
structural,steel_framing_weight_lbs,EA,5400,"steel, framing, weight, lbs",fr3_P,Framing of Patio,15.0,fr2_L,Framing of Garage Space,27.5,fr1_U,Framing of Liveable Space,55.0,fr3_P,fr2_L,fr1_U
structural,steel_connections,EA,96,"steel, connections",,,,,,,wd4_U,Slider Door Cost/Steel Door,10000.0,,,wd4_U
structural,total_sheathing_sf,SF,31200,"total, sheathing",,,,,,,,,,,,
structural,roof_sheathing_sf,SF,12480,"roof, sheathing",ro1_P,Roofing Recoat Flat Roof,1.1,ro3_L,Roofing Tear Off and Replace Flat Roof,5.65,ro2_U,Roofing Repair Flat Roof,2500.0,ro1_P,ro3_L,ro2_U
structural,wall_sheathing_sf,SF,10920,"wall, sheathing",de1_P,Demo Interior Walls,1.0,de30_L,Demo Drywall Lid and Insulation,5.0,,,,de1_P,de30_L,
structural,floor_sheathing_sf,SF,7800,"floor, sheathing",fl5_P,Engineered Hardwood Floor Prep (Allowance),1.0,de17_L,Demo Wood with Subfloor,3.5,fl22_U,Flooring Polished Concrete (Medium Aggregate),6.5,fl5_P,de17_L,fl22_U
electrical,standard_outlets,EA,300,"standard, outlets",el1_P,Electrical Remove and Replace (Outlets),45.0,el8_L,Electrical New (Outlets 240),125.0,,,,el1_P,el8_L,
electrical,gfci_outlets,EA,72,"gfci, outlets",el6_P,Electrical GFCI/USB Outlet,70.0,el8_L,Electrical New (Outlets 240),125.0,,,,el6_P,el8_L,
electrical,usb_outlets,EA,60,"usb, outlets",el6_P,Electrical GFCI/USB Outlet,70.0,el8_L,Electrical New (Outlets 240),125.0,,,,el6_P,el8_L,
electrical,floor_outlets,EA,48,"floor, outlets",el1_P,Electrical Remove and Replace (Outlets),45.0,el8_L,Electrical New (Outlets 240),125.0,,,,el1_P,el8_L,
electrical,single_pole_switches,EA,192,"single, pole, switches",el3_P,Electrical Remove and Replace (Switches),30.0,,,,,,,el3_P,,
electrical,three_way_switches,EA,96,"three, way, switches",el3_P,Electrical Remove and Replace (Switches),30.0,,,,,,,el3_P,,
electrical,dimmer_switches,EA,120,"dimmer, switches",el3_P,Electrical Remove and Replace (Switches),30.0,,,,,,,el3_P,,
electrical,smart_switches,EA,84,"smart, switches",el3_P,Electrical Remove and Replace (Switches),30.0,,,,,,,el3_P,,
electrical,total_outlets_switches,EA,960,"total, outlets, switches",el1_P,Electrical Remove and Replace (Outlets),45.0,el8_L,Electrical New (Outlets 240),125.0,,,,el1_P,el8_L,
electrical,recessed_lights,EA,216,"recessed, lights",el2_P,Electrical Remove and Replace (Can Lights),75.0,el9_L,Electrical New (Can Lights),150.0,,,,el2_P,el9_L,
electrical,pendants,EA,24,pendants,,,,,,,,,,,,
electrical,chandeliers,EA,18,chandeliers,,,,,,,,,,,,
electrical,under_cabinet_lights,LF,144,"under, cabinet, lights",el22_P,Electrical New Underground Conduit,10.0,,,,,,,el22_P,,
electrical,toe_kick_lights,LF,120,"toe, kick, lights",el2_P,Electrical Remove and Replace (Can Lights),75.0,el9_L,Electrical New (Can Lights),150.0,,,,el2_P,el9_L,
electrical,closet_lights,EA,60,"closet, lights",el2_P,Electrical Remove and Replace (Can Lights),75.0,el9_L,Electrical New (Can Lights),150.0,,,,el2_P,el9_L,
electrical,total_light_fixtures,EA,540,"total, light, fixtures",el2_P,Electrical Remove and Replace (Can Lights),75.0,el9_L,Electrical New (Can Lights),150.0,,,,el2_P,el9_L,
electrical,total_specialty_systems,EA,144,"total, specialty, systems",,,,,,,,,,,,
electrical,main_panel_size,AMP,400,"main, panel, size",,,,,,,el17_U,Electrical New 125 Amp Sub-Panel,2500.0,,,el17_U
electrical,sub_panels,EA,4,"sub, panels",,,,,,,el17_U,Electrical New 125 Amp Sub-Panel,2500.0,,,el17_U
electrical,total_circuits,EA,120,"total, circuits",,,,,,,,,,,,
electrical,romex_lf,LF,42000,romex,,,,,,,,,,,,
electrical,lighting_control_panels,,6,"lighting, control, panels",de32_P,Demo Grid Celing with Duct and Lighting,1.0,la5_L,Landscape Lighting,,fl28_U,Flooring Metallic Epoxy (Ground Control),8.5,de32_P,la5_L,fl28_U
electrical,audio_visual_drops,,36,"audio, visual, drops",,,,fs1_L,Industrial Sprinkler Drops,,,,,,fs1_L,
electrical,security_system_components,,24,"security, system, components",fl14_P,Flooring Epoxy Quartz System Removal ,1.5,,,,,,,fl14_P,,
plumbing,primary_bath_count,EA,2,"primary, bath, count",,,,,,,pl4_U,Plumbing Bathtub(s) (Rough-in),1200.0,,,pl4_U
plumbing,primary_shower_valves,EA,16,"primary, shower, valves",pl17_P,Plumbing Shower (Trim),89.0,pl1_L,Plumbing Shower Valve(s) (Rough-in),525.0,pl2_U,Plumbing Shower Valve(s) W/ Diverter (Rough-in),750.0,pl17_P,pl1_L,pl2_U
plumbing,primary_sinks,EA,18,"primary, sinks",,,,,,,,,,,,
plumbing,primary_bathtubs,EA,5,"primary, bathtubs",,,,,,,,,,,,
plumbing,primary_toilets,EA,9,"primary, toilets",,,,,,,,,,,,
plumbing,secondary_bath_count,EA,3,"secondary, bath, count",,,,,,,pl4_U,Plumbing Bathtub(s) (Rough-in),1200.0,,,pl4_U
plumbing,secondary_shower_valves,EA,3,"secondary, shower, valves",pl17_P,Plumbing Shower (Trim),89.0,pl1_L,Plumbing Shower Valve(s) (Rough-in),525.0,pl2_U,Plumbing Shower Valve(s) W/ Diverter (Rough-in),750.0,pl17_P,pl1_L,pl2_U
plumbing,secondary_sinks,EA,17,"secondary, sinks",,,,,,,de28_U,Demo Secondary Bath,800.0,,,de28_U
plumbing,secondary_bathtubs,EA,2,"secondary, bathtubs",,,,,,,de28_U,Demo Secondary Bath,800.0,,,de28_U
plumbing,secondary_toilets,EA,3,"secondary, toilets",,,,,,,de28_U,Demo Secondary Bath,800.0,,,de28_U
plumbing,powder_room_count,EA,2,"powder, room, count",,,,de20_L,Bathrooms,,de27_U,Demo Powder Bath,400.0,,de20_L,de27_U
plumbing,tankless_water_heaters,EA,4,"tankless, water, heaters",,,,,,,pl8_U,Plumbing Convert Water Heater to Tankless (Rough-in),2000.0,,,pl8_U
plumbing,total_plumbing_fixtures,EA,37,"total, plumbing, fixtures",pl17_P,Plumbing Shower (Trim),89.0,pl1_L,Plumbing Shower Valve(s) (Rough-in),525.0,pl2_U,Plumbing Shower Valve(s) W/ Diverter (Rough-in),750.0,pl17_P,pl1_L,pl2_U
plumbing,powder_room_sinks,,2,"powder, room, sinks",,,,mf1_L,Metal Fabrication Handrail (Powder Coated Steel Tube Stock),112.5,de27_U,Demo Powder Bath,400.0,,mf1_L,de27_U
plumbing,powder_room_toilets,,2,"powder, room, toilets",,,,mf1_L,Metal Fabrication Handrail (Powder Coated Steel Tube Stock),112.5,de27_U,Demo Powder Bath,400.0,,mf1_L,de27_U
hvac,tonnage,TON,26.7,tonnage,,,,,,,,,,,,
hvac,systems,EA,8,systems,,,,,,,,,,,,
hvac,zones,EA,40,zones,,,,,,,,,,,,
hvac,flex_duct_linear_feet,LF,360,"flex, duct, linear, feet",,,,me7_L,HVAC Flex Duct,,,,,,me7_L,
hvac,hard_duct_linear_feet,LF,180,"hard, duct, linear, feet",,,,me8_L,HVAC Hard Duct,,,,,,me8_L,
hvac,registers,EA,120,registers,me9_P,HVAC Registers,170.0,,,,,,,me9_P,,
hvac,returns,EA,57,returns,me10_P,HVAC Returns,170.0,,,,,,,me10_P,,
insulation,wall_insulation_sf,SF,12600,"wall, insulation",de1_P,Demo Interior Walls,1.0,de30_L,Demo Drywall Lid and Insulation,5.0,,,,de1_P,de30_L,
insulation,wall_r_value,EA,24,"wall, value",dr2_P,Drywall Patching,100.0,dr1_L,Drywall Allowance,,pl6_U,Plumbing Tub Filler(s) (Wall Mounted) (Rough-in),950.0,dr2_P,dr1_L,pl6_U
insulation,ceiling_insulation_sf,SF,12000,"ceiling, insulation",de33_P,Demo Popcorn Ceiling,2.0,de30_L,Demo Drywall Lid and Insulation,5.0,,,,de33_P,de30_L,
insulation,ceiling_r_value,EA,60,"ceiling, value",,,,el4_L,Electrical Remove and Replace (Ceiling Fans),187.5,,,,,el4_L,
insulation,rigid_insulation_sf,SF,7200,"rigid, insulation",,,,de30_L,Demo Drywall Lid and Insulation,5.0,,,,,de30_L,
insulation,acoustic_insulation_sf,SF,3600,"acoustic, insulation",,,,de30_L,Demo Drywall Lid and Insulation,5.0,,,,,de30_L,
insulation,weather_barrier_sf,SF,13860,"weather, barrier",,,,,,,,,,,,
insulation,caulk_tubes,EA,240,"caulk, tubes",,,,,,,,,,,,
insulation,foam_sealant_cans,EA,84,"foam, sealant, cans",,,,,,,,,,,,
insulation,radiant_barrier_sf,,12000,"radiant, barrier",,,,,,,,,,,,
insulation,thermal_break_tape_lf,,9600,"thermal, break, tape",el11_P,Electrical Tape Light,55.0,el12_L,Electrical Tape Light Driver,200.0,,,,el11_P,el12_L,
finish_carpentry,single_doors,EA,40,"single, doors",fc6_P,Finish Carpentry Door Install (Stain Single Prehung),100.0,fc3_L,Finish Carpentry Door Install (Paint Single Prehung),250.0,de7_U,Demo Sliding Glass Doors,400.0,fc6_P,fc3_L,de7_U
finish_carpentry,double_doors,EA,11,"double, doors",,,,fc7_L,Finish Carpentry Door Install (Stain Double Prehung),250.0,fc4_U,Finish Carpentry Door Install (Paint Double Prehung),350.0,,fc7_L,fc4_U
finish_carpentry,pocket_doors,EA,8,"pocket, doors",,,,de3_L,Demo Doors/Frame/Trim,62.5,de7_U,Demo Sliding Glass Doors,400.0,,de3_L,de7_U
finish_carpentry,barn_doors,EA,4,"barn, doors",,,,de3_L,Demo Doors/Frame/Trim,62.5,de7_U,Demo Sliding Glass Doors,400.0,,de3_L,de7_U
finish_carpentry,garage_man_doors,EA,2,"garage, man, doors",,,,pr9_L,Construction Manager,,de7_U,Demo Sliding Glass Doors,400.0,,pr9_L,de7_U
finish_carpentry,exterior_utility_doors,EA,4,"exterior, utility, doors",,,,de3_L,Demo Doors/Frame/Trim,62.5,fc5_U,Finish Carpentry Door Install (Paint Exterior),350.0,,de3_L,fc5_U
finish_carpentry,baseboard_lf,LF,10050,baseboard,,,,,,,de8_U,Demo Baseboards,600.0,,,de8_U
finish_carpentry,crown_molding_lf,LF,8040,"crown, molding",,,,,,,,,,,,
finish_carpentry,door_casing_lf,LF,600,"door, casing",fc6_P,Finish Carpentry Door Install (Stain Single Prehung),100.0,de3_L,Demo Doors/Frame/Trim,62.5,de7_U,Demo Sliding Glass Doors,400.0,fc6_P,de3_L,de7_U
finish_carpentry,window_casing_lf,LF,1536,"window, casing",wd1_P,Window Install,250.0,st2_L,Stucco Smooth Synthetic Patches Around Windows,1430.0,de6_U,Demo Windows,150.0,wd1_P,st2_L,de6_U
finish_carpentry,total_trim_lf,LF,20226,"total, trim",pl17_P,Plumbing Shower (Trim),89.0,de3_L,Demo Doors/Frame/Trim,62.5,,,,pl17_P,de3_L,
finish_carpentry,simplified_single_doors,EA,64,"simplified, single, doors",fc6_P,Finish Carpentry Door Install (Stain Single Prehung),100.0,fc3_L,Finish Carpentry Door Install (Paint Single Prehung),250.0,de7_U,Demo Sliding Glass Doors,400.0,fc6_P,fc3_L,de7_U
finish_carpentry,simplified_double_doors,EA,6,"simplified, double, doors",,,,fc7_L,Finish Carpentry Door Install (Stain Double Prehung),250.0,fc4_U,Finish Carpentry Door Install (Paint Double Prehung),350.0,,fc7_L,fc4_U
finish_carpentry,simplified_baseboard_lf,LF,11400,"simplified, baseboard",,,,,,,de8_U,Demo Baseboards,600.0,,,de8_U
cabinetry,kitchen_base_cabinets_lf,LF,82.0,"kitchen, base, cabinets",ca1_P,Cabinets Custom Paint Grade,650.0,ca2_L,Cabinets Custom Stain Grade,1025.0,ca3_U,Cabinets Custom Full-Height,1500.0,ca1_P,ca2_L,ca3_U
cabinetry,kitchen_wall_cabinets_lf,LF,70.0,"kitchen, wall, cabinets",ca1_P,Cabinets Custom Paint Grade,650.0,ca2_L,Cabinets Custom Stain Grade,1025.0,ca3_U,Cabinets Custom Full-Height,1500.0,ca1_P,ca2_L,ca3_U
cabinetry,kitchen_island_lf,LF,38.0,"kitchen, island",pl24_P,Plumbing Kitchen Faucet (Trim),125.0,pl25_L,Plumbing Kitchen RO (Trim),375.0,de18_U,Demo Full Kitchen (Tract),1200.0,pl24_P,pl25_L,de18_U
cabinetry,kitchen_full_height_cabinets_lf,LF,28.0,"kitchen, full, height, cabinets",ca1_P,Cabinets Custom Paint Grade,650.0,ca2_L,Cabinets Custom Stain Grade,1025.0,ca3_U,Cabinets Custom Full-Height,1500.0,ca1_P,ca2_L,ca3_U
cabinetry,primary_bath_vanity_lf,LF,60.0,"primary, bath, vanity",pl23_P,Plumbing Vanity Sink/Faucet (Trim),125.0,de20_L,Bathrooms,,de24_U,Demo Full Master Bathroom (Small),1200.0,pl23_P,de20_L,de24_U
cabinetry,secondary_bath_vanity_lf,LF,27.0,"secondary, bath, vanity",pl23_P,Plumbing Vanity Sink/Faucet (Trim),125.0,de20_L,Bathrooms,,de28_U,Demo Secondary Bath,800.0,pl23_P,de20_L,de28_U
cabinetry,powder_room_vanity_lf,LF,6,"powder, room, vanity",,,,mf1_L,Metal Fabrication Handrail (Powder Coated Steel Tube Stock),112.5,,,,,mf1_L,
cabinetry,total_kitchen_cabinets_lf,LF,218.0,"total, kitchen, cabinets",ca1_P,Cabinets Custom Paint Grade,650.0,ca2_L,Cabinets Custom Stain Grade,1025.0,ca3_U,Cabinets Custom Full-Height,1500.0,ca1_P,ca2_L,ca3_U
cabinetry,total_bathroom_cabinets_lf,LF,93.0,"total, bathroom, cabinets",ca1_P,Cabinets Custom Paint Grade,650.0,ca2_L,Cabinets Custom Stain Grade,1025.0,ca3_U,Cabinets Custom Full-Height,1500.0,ca1_P,ca2_L,ca3_U
cabinetry,total_specialty_cabinets_lf,LF,33,"total, specialty, cabinets",ca1_P,Cabinets Custom Paint Grade,650.0,ca2_L,Cabinets Custom Stain Grade,1025.0,ca3_U,Cabinets Custom Full-Height,1500.0,ca1_P,ca2_L,ca3_U
cabinetry,total_cabinetry_lf,LF,344.0,"total, cabinetry",,,,,,,,,,,,
cabinetry,office_cabinetry_lf,,10,"office, cabinetry",,,,,,,,,,,,
cabinetry,butlers_pantry_lf,,15,"butlers, pantry",,,,,,,,,,,,
cabinetry,media_room_cabinetry_lf,,8,"media, room, cabinetry",,,,de20_L,Bathrooms,,de24_U,Demo Full Master Bathroom (Small),1200.0,,de20_L,de24_U
countertops,kitchen_countertops_sf,SF,140,"kitchen, countertops",,,,co3_L,Countertop Fabrication Kitchen Sink,300.0,,,,,co3_L,
countertops,butlers_pantry_countertops_sf,SF,50,"butlers, pantry, countertops",,,,,,,,,,,,
countertops,waterfall_edges_lf,LF,15,"waterfall, edges",,,,,,,,,,,,
countertops,primary_bath_countertops_sf,SF,150,"primary, bath, countertops",,,,de20_L,Bathrooms,,de24_U,Demo Full Master Bathroom (Small),1200.0,,de20_L,de24_U
countertops,secondary_bath_countertops_sf,SF,75,"secondary, bath, countertops",,,,de20_L,Bathrooms,,de28_U,Demo Secondary Bath,800.0,,de20_L,de28_U
countertops,powder_room_countertops_sf,SF,36,"powder, room, countertops",,,,mf1_L,Metal Fabrication Handrail (Powder Coated Steel Tube Stock),112.5,de27_U,Demo Powder Bath,400.0,,mf1_L,de27_U
countertops,quartz_countertops_sf,SF,158,"quartz, countertops",fl14_P,Flooring Epoxy Quartz System Removal ,1.5,,,,,,,fl14_P,,
countertops,granite_countertops_sf,SF,77,"granite, countertops",,,,,,,,,,,,
countertops,marble_countertops_sf,SF,113,"marble, countertops",,,,,,,,,,,,
countertops,quartzite_countertops_sf,SF,81,"quartzite, countertops",,,,,,,,,,,,
countertops,total_kitchen_countertops_sf,SF,190,"total, kitchen, countertops",,,,co3_L,Countertop Fabrication Kitchen Sink,300.0,,,,,co3_L,
countertops,total_bathroom_countertops_sf,SF,261,"total, bathroom, countertops",,,,de20_L,Bathrooms,,de24_U,Demo Full Master Bathroom (Small),1200.0,,de20_L,de24_U
countertops,total_countertops_sf,SF,451,"total, countertops",,,,,,,,,,,,
countertops,specialty_countertops_sf,,23,"specialty, countertops",,,,,,,,,,,,
tile,primary_bath_count,EA,2,"primary, bath, count",,,,de20_L,Bathrooms,,de27_U,Demo Powder Bath,400.0,,de20_L,de27_U
tile,primary_bath_shower_floor_sf,SF,90,"primary, bath, shower, floor",ti1_P,Tile Float Floor,0.5,ti11_L,Tile Wall/Shower Material,17.5,ti6_U,Tile Installation Shower Pan,32.0,ti1_P,ti11_L,ti6_U
tile,primary_bath_shower_walls_sf,SF,500,"primary, bath, shower, walls",,,,ti11_L,Tile Wall/Shower Material,17.5,ti6_U,Tile Installation Shower Pan,32.0,,ti11_L,ti6_U
